timestamp,session_id,workspace,session_title,execution_id,model,status,input_tokens,output_tokens,total_tokens,credits,aggregate_current_usage,aggregate_usage_limit
2026-08-26 19:55:24.812,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-26 19:55:24.813,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-26 19:55:24.815,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-26 19:55:24.819,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-26 19:55:24.820,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-26 19:55:24.823,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-26 19:55:24.826,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-26 19:55:24.830,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-26 19:55:24.831,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-26 19:55:24.833,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-26 19:55:24.837,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-26 19:55:24.840,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-26 19:55:24.841,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-26 19:55:24.843,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-26 19:55:24.845,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.588,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.595,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.597,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.603,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.608,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.615,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.618,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.623,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.635,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.641,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.648,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.650,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.668,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.672,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.674,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.676,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.677,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.686,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.687,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.689,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.690,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.696,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.708,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.715,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 12:10:53.745,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-25 19:01:42.321,sess_20cf2ed3-d125-42de-b8d4-3c5aa9d17099,,,,,,,,,,0.15,50
2026-08-25 19:01:42.322,sess_20cf2ed3-d125-42de-b8d4-3c5aa9d17099,,,,,,,,,,0.15,50
